depot,street,country_code,city,bu_code,lat,lng,post_code
0204,Hilchenbacher Strasse 20,DE,Krostitz,001,51.470915,12.445863,04509
0205,Hilchenbacher Strasse 20,DE,Krostitz,001,51.470915,12.445863,04509
0206,Hilchenbacher Strasse 20,DE,Krostitz,001,51.47096,12.44566,04509
0207,Die Marck 4,DE,Moersdorf,001,50.8698577,11.7898769,07646
0208,Gewerbegebiet 1,DE,Callenberg,001,50.84614,12.65725,09337
0209,Gewerbegebiet 1,DE,Callenberg,001,50.84614,12.65725,09337
0210,Adam-von-Trott-Strasse 1,DE,Berlin,001,52.547714,13.311008,13627
0212,Klosterfelder Hauptstrasse 37,DE,Wandlitz,001,52.793087,13.475912,16348
0214,Pappelallee 30,DE,Seddiner See,001,52.2880032,13.004213,14554
0215,Eichenweg 3,DE,Mittenwalde,001,52.266159,13.582478,15749
0217,Marzahner Strasse 22,DE,Berlin-Hohenschoenhausen,001,52.544712,13.5186223,13053
0220,Neue Wollkaemmereistrasse 2,DE,Hamburg,001,53.509652,9.974617,21107
0222,Aenne-Burda-Bogen 6,DE,Niebüll,001,54.791522,8.835563,25899
0223,Liebigstrasse 15,DE,Flensburg,001,54.76686,9.42863,24941
0224,Otto-Flath-Strasse 11-15,DE,Melsdorf,001,54.3097576,10.0316334,24109
0225,Niendorferstr. 172,DE,Norderstedt,001,53.65879874,9.97970412,22848
0226,Balzweg 5,DE,Vechta,001,52.702643,8.300993,49377
0228,Nelly-Sachs-Str. 5,DE,Loxstedt-Stotel,001,53.44189525,8.58879622546356,27612
0229,Spenglerstrasse 21,DE,Luebeck,001,53.859605,10.612244,23556
0230,Europastrasse 1,DE,Lehrte,001,52.38413,9.953879,31275
0231,Europastrasse 1,DE,Lehrte,001,52.38413,9.953879,31275
0232,Salzuflener Strasse 102-104,DE,Vlotho,001,52.139744,8.836715,32602
0234,Am Struther Berg 11,DE,Rodeberg / Struth,001,51.22148,10.301058,99976
0235,Didierstrasse 42,DE,Staufenberg-Mainzlar,001,50.65997,8.758306,35460
0236,Schaffeld 6,DE,Neuhof-Dorfborn,001,50.468688,9.635138,36119
0237,Klosteracker 5,DE,Noerten-Hardenberg,001,51.622273,9.933612,37176
0238,Carl-Zeiss-Weg 3,DE,Salzgitter,001,52.148108,10.419932,38239
0240,Am Roehrenwerk 9,DE,Duisburg,001,51.361418,6.713594,47259
0241,Opelstr. 5,DE,Hueckelhoven,001,51.034802,6.260174,41836
0242,Porschestrasse 20,DE,Wuppertal,001,51.305741,7.258184,42279
0243,Luxemburger Strasse 14,DE,Bad Bentheim,001,52.31845395,7.06370590180092,48455
0244,Hanfeldstrasse 42,DE,Haren,001,52.781626,7.294778,49733
0246,Weseler Strasse 567 a,DE,Muenster,001,51.926361,7.585631,48163
0247,Am Roehrenwerk 9,DE,Duisburg,001,51.361418,6.713594,47259
0248,Weseler Strasse 567 a,DE,Muenster,001,51.926361,7.585631,48163
0249,Im Gewerbepark 10,DE,Melle,001,52.219477,8.267985,49326
0250,Josef-Linden-Weg 10,DE,Koeln,001,50.917148,7.039392,51149
0251,Opelstr. 5,DE,Hueckelhoven,001,51.034802,6.260174,41836
0252,Carl-Benz-Ring 1,DE,Erftstadt,001,50.792141,6.783435,50374
0253,Am Roehrenwerk 9,DE,Duisburg,001,51.361418,6.713594,47259
0254,Europa-Allee 58,DE,Foehren,001,49.8575,6.7902,54343
0256,Im Metternicher Feld 32,DE,Koblenz,001,50.372749,7.554912,56072
0257,Oberhausener Strasse 9,DE,Wilnsdorf,001,50.81973,8.08651,57234
0259,Schleiferstr. 7,DE,Unna,001,,,59425
0260,Kelsterbacher Str. 64,DE,Raunheim,001,50.01836,8.46576,65479
0261,Kelsterbacher Str. 64,DE,Raunheim,001,50.01836,8.46576,65479
0262,Kelsterbacher Str. 64,DE,Raunheim,001,50.01836,8.46576,65479
0263,Obernburger Str. 45,DE,Aschaffenburg,001,49.94298,9.09406,63741
0265,Kelsterbacher Str. 64,DE,Raunheim,001,50.01836,8.46576,65479
0267,Von-Miller-Straße 20,DE,Kaiserslautern,001,49.441027,7.67192,67661
0268,Rudolf-Diesel-Strasse 33-37,DE,Mannheim,001,49.521865,8.461112,68169
0269,Mittelrheinstr. 19,DE,Worms,001,49.689274,8.34623,67550
0270,Carl-Benz-Str. 17,DE,Ludwigsburg,001,48.918651,9.144799,71634
0271,Carl-Benz-Str. 17,DE,Ludwigsburg,001,48.918651,9.144799,71634
0272,Wertstrasse 4,DE,Wendlingen,001,48.671064,9.366228,73240
0273,Carl-Benz-Str. 17,DE,Ludwigsburg,001,48.918651,9.144799,71634
0274,Pfaffenstrasse 31,DE,Heilbronn,001,49.182332,9.173332,74078
0275,Siemensstrasse 1,DE,Malsch,001,48.892626,8.313895,76316
0276,Siemensstrasse 1,DE,Malsch,001,48.892626,8.313895,76316
0277,Schickhardtallee 2,DE,Nagold,001,48.561724,8.749962,72202
0278,In Rammelswiesen 20,DE,Villingen-Schwenningen,001,48.059638,8.560409,78056
0279,Blankreutestr. 5,DE,Freiburg,001,48.035201,7.814083,79108
0280,Ludwig-Erhard-Str. 12,DE,Neufahrn,001,48.31333,11.64854,85375
0281,Ludwig-Erhard-Str. 12,DE,Neufahrn,001,48.31333,11.64854,85375
0282,Buergermeister-Graf-Ring 12,DE,Geretsried - Gelting,001,47.887652,11.435988,82538
0283,Am Langwiesfeld 11,DE,Obertraubling,001,48.970555,12.166421,93083
0284,Braeuackerring 1,DE,Obing,001,47.995531,12.400849,83119
0286,Carl-von-Linde-Strasse 5,DE,Aichach,001,48.402825,11.087983,86551
0287,Buergermeister-Merk-Strasse 9,DE,Holzguenz,001,48.020143,10.270059,87752
0289,Ernst-Abbe-Strasse 5,DE,Neu-Ulm,001,48.395869,10.041011,89231
0290,Triester Strasse 11,DE,Nuernberg,001,49.399489,11.058053,90451
0291,Innovativring 2,DE,Dinkelsbuehl,001,49.0981596,10.24744,91550
0292,Buergermeister-Unsicker-Str. 15,DE,Wernberg-Koeblitz,001,49.525886,12.145174,92533
0293,Gewerbepark Chammuenster Nord A2,DE,Cham,001,49.208038,12.6813,93413
0294,Gunskirchener Str. 2,DE,Hengersberg,001,48.760104,13.055638,94491
0295,Raiffeisenstrasse 11,DE,Leupoldsgruen,001,50.290234,11.807978,95191
0296,Birkleite 4,DE,Ebersdorf,001,50.222588,11.069083,96237
0297,Friedrich-Koenig-Strasse 45,DE,Wuerzburg,001,49.82223,9.874442,97080
0298,Eichenweg 3,DE,Mittenwalde,001,52.266159,13.582478,15749
0299,Steinbruechenstrasse 15,DE,Nohra,001,50.963513,11.255931,99428
0948,0,DE,Aschaffenburg,001,,,63741
0990,Wailandtstr. 1,DE,Aschaffenburg,001,49.94298,9.09406,63741
0992,Schlitzer Str. 48,DE,Niederaula,001,50.7927132,9.59502269380029,36272
0994,Schleiferstr.7,DE,Unna,001,,,59425
0998,Wailandtstr. 1,DE,Aschaffenburg,001,,,63741
2599,Stockstaedter Str. 10,DE,Grossostheim,001,,,63762
7777,Auhofstr. 25,DE,Aschaffenburg,001,49.984085,9.156357,63741
8900,Muenchner Str. 39,DE,Langenhagen,001,,,30855
9998,Wailandtstr. 1,DE,Aschaffenburg,001,,,63741
0041,9 Rue Clement Adler,FR,Chilly Mazarin,002,48.68278,2.34082,91380
0042,81 Rue Albert Garry,FR,Limeil-Brevannes,002,48.755589,2.480906,94450
0043,1129 Rue de la Castelle,FR,Montpellier,002,43.61077,3.87672,34070
0044,6 Rue Gabriel Peri,FR,Corbas,002,45.68069,4.89437,69960
0045,Rue des Canesteu,FR,Salon de Provence,002,43.632305,5.0952537,13300
0401,13 Rue des Vieilles Vignes,FR,Croissy Beaubourg,002,48.824595,2.723501,77183
0402,Parc d'Activites Val de Seine,FR,Alfortville,002,48.781599,2.427884,94140
0403,Rue Marie Ampere,FR,Coignieres,002,48.756226,1.931376,78310
0404,155 BVD Charles De Gaulle,FR,Villeneuve la Garenne,002,48.943176,2.310893,92390
0405,165 Avenue Henri Barbusse,FR,Bobigny,002,48.911472,2.433054,93000
0406,Rue des Transports,FR,Rungis,002,48.75412,2.36531,94579
0407,5 Avenue du Fief,FR,St Ouen L Aumone,002,49.0389188,2.1514417,95310
0408,2 Rue St Exupery,FR,Chilly Mazarin,002,48.717959,2.308073,91380
0409,Parc de Stationnement Concorde,FR,Paris,002,48.86707,2.320347,75008
0410,1 Rue de la Maison Neuve,FR,Betton,002,48.162727,-1.627455,35830
0411,18 Rue Nicephore Niepce,FR,Brest,002,48.377914,-4.3775277,29200
0412,Avenue du Cassantin,FR,Chanceaux-sur-Choisille,002,47.46926,0.748819,37390
0413,5 Avenue Syrma,FR,Carquefou,002,47.275966,-1.469962,44470
0414,Zac Des Guettes,FR,Ingre,002,47.92894,1.84811,45140
0415,Zone Artisanale de Chapeau,FR,Neuville-sur-Sarthe,002,48.046766,0.214036,72650
0416,Rue Claude Berthollet,FR,Poitiers,002,46.60687,0.32751,86000
0417,"Lieudit ""Les Chaumes""",FR,La Chapelle St Ursin,002,47.05213,2.34357,18570
0418,Rue Clement Ader,FR,Chilly Mazarin,002,48.71779,2.308037,91380
0419,Zone du Plessis,FR,Roullet St Estephe,002,45.6001,0.0682,16440
0420,245 rue du Sault de la Mare,FR,Verson,002,49.157020,-0.470027,14790
0421,Port Fluvial 4 ème Avenue,FR,Lille,002,50.62404,3.02032,59000
0422,"Pont Sarrazin Bas, Lieu-Dit Rauffe",FR,La Rochette,002,44.577573,6.121236,05000
0423,5 Rue Régis Pollet,FR,Arras,002,50.405868,3.013071,62970
0424,72C Rue Aristide Briand,FR,Petit Couronne,002,49.371730,1.0157667,76650
0425,2 Chemin des Vignes,FR,La Balme de Sillingy,002,45.97531,6.03116,74330
0426,9 Rue du Haut de Laval,FR,Roissy CDG CEDEX,002,48.99084,2.54285,95709
0427,1361 Chemin du Mas de Sorbiers,FR,Nimes,002,43.83689,4.41791,30000
0428,Rue du Cloteau,FR,Saint-Barthelemy d'Anjou,002,47.49056,-0.49076,49124
0429,22 Rue Saint Exupery,FR,Fleville devant Nancy,002,48.640694,6.192148,54710
0430,335 rue Henry Darcy,FR,Longvic,002,47.273611,5.052455,21600
0431,1 rue de la Noue,FR,Cernay - lès - Reims,002,49.2374387,4.0954076,51420
0432,Voie Marie Hackin,FR,Rombas,002,49.254563,6.114047,57120
0433,56 Rue Jean Giraudoux,FR,Strasbourg,002,48.58611,7.71044,67200
0434,7 Rue de l'Industrie,FR,Cernay,002,47.795939,7.200616,68700
0435,Parc d'activites les Combes,FR,Macon,002,46.27044,4.80477,71020
0436,Rue de Stockholm,FR,Sainte Savine,002,48.296699,4.000083,10300
0437,Avenue Henri Schneider,FR,Jonage,002,45.773505,5.035247,69330
0438,ZAC du Jardin d'entreprises,FR,Chartres,002,48.4084,1.52963,28000
0439,Zone d'activites economiques,FR,St. Geours de Maremnes,002,43.68743,-1.23444,40230
0440,Rue Baron Dominique Larrey,FR,La Farlede,002,43.1617,6.05238,83210
0441,11 Avenue de Sancy,FR,Gerzat,002,45.83392,3.13593,63360
0442,Aeroport de Marseille Provence,FR,Marignane,002,43.44228,5.22212,13729
0443,Zone Aeroportuaire,FR,Ajaccio,002,41.919228,8.738635,20090
0444,RN 193,FR,Furiani,002,42.54413,9.48142,20600
0445,56 Avenue des Terroirs de France,FR,Paris,002,48.832308,2.389259,75012
0446,21 Avenue Thiers,FR,Nice,002,43.703487,7.260856,06000
0447,1710 Bd Salvador Allende,FR,Sorgues,002,44.01204,4.8868,84700
0448,6 Rue Gabriel Peri,FR,Corbas,002,45.68221,4.92215,69960
